ID,Zone,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
27,1,battery,45087.56099259525,0.0,45087.56099259525
40,2,battery,258871.29546858693,0.0,258871.29546858693
54,3,battery,29416.201959067123,0.0,29416.201959067123
