ID,Zone,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
27,1,battery,45168.24940649915,0.0,45168.24940649915
40,2,battery,258871.29546858693,0.0,258871.29546858693
54,3,battery,29443.609145196457,0.0,29443.609145196457
