Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1.0,1.0,9000.0,0.0,0.0,0.0
1.0,2.0,9000.0,52961.964908999995,9.285444639596553e7,20.416107800217226
1.0,3.0,9000.0,4428.0,654659.9254514277,0.1439414926184865
2.0,1.0,603.0,0.0,0.0,0.0
2.0,2.0,603.0,6606.45,1.94448156829191e7,4.275373647104956
2.0,3.0,603.0,388.95,147154.02455012663,0.03235507339777466
